Segment,Bets,Wins,Losses,Pushes,StakeUnits,ProfitUnits,ROI,AvgCLV,AvgBrier
ALL,43,22,21,0,61.274577859982486,8.623400106848258,0.14073373343433626,-0.004485574354044903,0.2088681001094362
MarketType:Moneyline,17,8,9,0,21.42906679594296,6.990338765575384,0.3262082680566764,-0.0053276378463766785,0.2969581720139031
MarketType:Spread,18,10,8,0,26.670630700840448,1.9079417044719653,0.07153717982424172,-0.007197522469017415,0.22412388104010042
MarketType:Total,8,4,4,0,13.17488036319909,-0.2748803631990906,-0.02086397414028167,0.020392506897085102,0.09026646634364083
ConfidenceBucket:60-69,19,10,9,0,23.099697496783403,9.53828047004735,0.4129179817777069,-0.004133021498115181,0.24545561753051395
ConfidenceBucket:70-79,12,7,5,0,19.17488036319909,4.265119636800909,0.2224326596053571,-0.007956113815101109,0.26477971456757204
ConfidenceBucket:80-100,8,4,4,0,15.0,-2.18,-0.14533333333333334,0.0027805628748767256,0.06045735377208683
ConfidenceBucket:<60,4,1,3,0,4.0,-3.0,-0.75,,
EdgeBucket:10+ pp,9,4,5,0,15.5,-1.3000000000000003,-0.0838709677419355,0.00222445029990138,0.0618652004262093
EdgeBucket:2-4.99 pp,13,7,6,0,14.200268819227984,2.3777091476027685,0.16744113635251842,-0.00086252689390924,0.3056098193214569
EdgeBucket:5-9.99 pp,17,9,8,0,27.574309040754507,8.655690959245492,0.3139041832907755,-0.007592498743752208,0.21272579692802493
EdgeBucket:<2 pp,4,2,2,0,4.0,-1.11,-0.2775,-0.0307692307692307,0.2823865833217275
Grade:B,29,15,14,0,45.603947159142045,9.885458402376292,0.21676760495926925,-0.005724634621920668,0.2162331940485502
Grade:C,5,2,3,0,4.822754580306279,0.11222389220747497,0.023269666813596795,0.0010464789810868333,
Grade:D,5,4,1,0,6.847876120534168,1.6257178122644909,0.23740467608483504,-0.00235294117647058,0.1278520667791822
Grade:nan,4,1,3,0,4.0,-3.0,-0.75,,
