Date,FPLGameweek,Season,FixtureID,HomeTeam,AwayTeam,ModelVersion,HomeGoals,AwayGoals,ActualTotalGoals,Lambda_Home_xG,Lambda_Away_xG,Lambda_Total_xG,ActualHomeXG,ActualAwayXG,ActualTotalXG,HomeXGError,AwayXGError,TotalXGError,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeShotsInsideBox,AwayShotsInsideBox,HomeBigChances,AwayBigChances,HomePossessionPct,AwayPossessionPct,CalP_Over2_5,P_HomeWin,P_Draw,P_AwayWin,ProcessGrade,AuditUTC
2026-08-30,2,2026/27,1557379,Chelsea,Brighton,V1.2,4.0,3.0,7.0,1.9123814832835249,1.3833563695471156,3.2957378528306407,2.97,1.56,4.53,1.057618516716475,0.1766436304528844,1.2342621471693596,17.0,15.0,6.0,6.0,15.0,13.0,,,26.0,74.0,0.6103339529503089,0.4913362286181011,0.2380806170095362,0.2705831543723626,PROCESS_MIXED,2026-08-31T05:31:20.121035+00:00
2026-08-30,2,2026/27,1557382,Leeds,Brentford,V1.2,1.0,1.0,2.0,1.7134768199441102,1.4855062991698516,3.198983119113961,1.46,1.56,3.02,-0.2534768199441102,0.0744937008301485,-0.178983119113961,13.0,22.0,2.0,5.0,6.0,18.0,,,47.0,53.0,0.5955724138551365,0.4239291680503105,0.2493652132927706,0.3267056186569189,PROCESS_ALIGNED,2026-08-31T05:31:20.121035+00:00
2026-08-30,2,2026/27,1557384,Man United,Ipswich Town,V1.2,5.0,2.0,7.0,2.028369378007053,1.237147429561241,3.265516807568294,4.57,2.01,6.58,2.5416306219929474,0.7728525704387588,3.314483192431706,33.0,9.0,12.0,5.0,19.0,6.0,,,60.0,40.0,0.6057658879239111,0.5491317487630761,0.2290788814401436,0.2217893697967802,MAJOR_TEAM_XG_MISS,2026-08-31T05:31:20.121035+00:00
2026-08-30,2,2026/27,1557385,Sunderland,Fulham,V1.2,1.0,0.0,1.0,1.2856685954972775,1.2356567354871106,2.5213253309843884,1.75,0.79,2.54,0.4643314045027225,-0.4456567354871106,0.0186746690156116,12.0,9.0,4.0,0.0,9.0,5.0,,,42.0,58.0,0.4802950474642984,0.3673608169854708,0.2890252943622074,0.3436138886523215,PROCESS_ALIGNED,2026-08-31T05:31:20.121035+00:00
2026-08-31,2,2026/27,1557377,Aston Villa,Arsenal,V1.2,0.0,1.0,1.0,1.0420490718127302,1.7656387241561295,2.80768779596886,0.31,1.05,1.36,-0.7320490718127302,-0.7156387241561295,-1.44768779596886,7.0,7.0,0.0,2.0,3.0,5.0,,,39.0,61.0,0.531598374274705,0.2135802770041853,0.2519383681252705,0.5344813548705438,PROCESS_MIXED,2026-09-01T05:05:12.188930+00:00
2026-09-04,3,2026/27,1557393,Ipswich Town,Liverpool,V1.2,0.0,2.0,2.0,1.0979751684617551,2.685206818638519,3.7831819871002734,,,,,,,14.0,10.0,5.0,7.0,4.0,5.0,,,45.0,55.0,0.6785853122651537,0.1259910612760116,0.1695764973944089,0.7044324413295795,RESULT_ONLY_NO_XG,2026-09-05T04:24:12.522175+00:00
2026-09-05,3,2026/27,1557388,Brentford,Sunderland,V1.2,1.0,1.0,2.0,1.9531670816903337,1.06511304696298,3.0182801286533136,,,,,,,12.0,14.0,2.0,5.0,7.0,10.0,,,49.0,51.0,0.5663886671438948,0.5725746159155911,0.2326870652078329,0.1947383188765761,RESULT_ONLY_NO_XG,2026-09-05T22:52:19.528856+00:00
2026-09-05,3,2026/27,1557389,Brighton,Leeds,V1.2,1.0,1.0,2.0,1.6747320472528304,1.3278336827598711,3.0025657300127016,,,,,,,20.0,10.0,5.0,5.0,11.0,10.0,,,67.0,33.0,0.563837540641956,0.4481383710849635,0.2555262016294738,0.2963354272855628,RESULT_ONLY_NO_XG,2026-09-05T22:52:19.528856+00:00
2026-09-05,3,2026/27,1557391,Fulham,Crystal Palace,V1.2,2.0,3.0,5.0,1.5279027846608964,1.4676619381729974,2.995564722833894,,,,,,,25.0,10.0,6.0,5.0,22.0,7.0,,,65.0,35.0,0.5626969242105595,0.3833007836969092,0.2599075977162091,0.3567916185868818,RESULT_ONLY_NO_XG,2026-09-05T22:52:19.528856+00:00
2026-09-05,3,2026/27,1557392,Hull City,Aston Villa,V1.2,0.0,0.0,0.0,1.2638231597729097,1.4804516577517648,2.7442748175246745,,,,,,,11.0,13.0,4.0,1.0,4.0,10.0,,,26.0,74.0,0.5202714706484332,0.314491723740303,0.2720814522940142,0.4134268239656829,RESULT_ONLY_NO_XG,2026-09-05T22:52:19.528856+00:00
2026-09-05,3,2026/27,1557395,Newcastle,Bournemouth,V1.2,2.0,2.0,4.0,1.8190751624802244,1.5922183406386576,3.4112935031188822,,,,,,,8.0,17.0,2.0,5.0,5.0,9.0,,,57.0,43.0,0.6266898000456702,0.427525320305421,0.2389273129643546,0.3335473667302246,RESULT_ONLY_NO_XG,2026-09-05T22:52:19.528856+00:00
