Date,HomeTeam,AwayTeam,Bookmaker,BookmakerKey,Market,Outcome,Point,DecimalOdds,ManualSource
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,h2h,Crystal Palace,,4.9,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,h2h,Draw,,4.0,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,h2h,Man City,,1.5988023952,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,spreads,Crystal Palace,0.5,2.22,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,spreads,Man City,-0.5,1.5882352941,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.6172839506,screenshot_2026-08-26
2026-08-28,Crystal Palace,Man City,MyBookie.ag,mybookie_manual,totals,Under,2.5,2.17,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,h2h,Liverpool,,1.4424778761,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,h2h,Draw,,4.6,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,h2h,Nott'm Forest,,6.0,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,spreads,Liverpool,-1.5,2.15,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,spreads,Nott'm Forest,1.5,1.625,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.5617977528,screenshot_2026-08-26
2026-08-29,Liverpool,Nott'm Forest,MyBookie.ag,mybookie_manual,totals,Under,2.5,2.27,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,h2h,Bournemouth,,2.02,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,h2h,Draw,,3.4,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,h2h,Everton,,3.44,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,spreads,Bournemouth,-0.5,1.9900990099,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,spreads,Everton,0.5,1.7352941176,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.8196721311,screenshot_2026-08-26
2026-08-29,Bournemouth,Everton,MyBookie.ag,mybookie_manual,totals,Under,2.5,1.8849557522,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,h2h,Coventry City,,1.8620689655,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,h2h,Draw,,3.48,screenshot_2026-08-26
