Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Source
2026-08-21,Arsenal,Coventry City,3,0,user_verified_screenshot
2026-08-22,Ipswich Town,Sunderland,2,1,user_verified_screenshot
2026-08-23,Man City,Bournemouth,2,1,verified_public_result
2026-08-23,Newcastle,Liverpool,2,2,verified_public_result
2026-08-24,Fulham,Chelsea,2,3,verified_public_result
2026-08-28,Crystal Palace,Man City,1,4,user_verified_result
2026-08-29,Coventry City,Hull City,0,1,user_verified_screenshot
2026-08-29,Tottenham,Newcastle,0,2,user_verified_result
2026-08-30,Leeds,Brentford,1,1,user_verified_result
2026-08-30,Man United,Ipswich Town,5,2,verified_public_result
