GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,ModelWinProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
1,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Hull City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.7,0.6983894636657989,0.0,1.4318658170343348,0.5882352941176471,0.11015416954815183,0.18726208823185808,18.726208823185807,0.84,"Derived, live validation building",82.51947318328995,100.0,90.01112753330854,B,1.2501010184685135,1.0561814651850812,1-1,V1.2
2,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Crystal Palace,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.62,0.4775334204289401,0.0,2.0940942711439106,0.38167938931297707,0.09585403111596302,0.25113756152382305,25.113756152382305,0.88,"Derived, live validation building",72.076671021447,100.0,84.04381201225542,B,1.7601093221541944,1.2868222009334622,1-1,V1.2
3,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Fulham,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.47,0.4660042416647111,0.0,2.145903214158934,0.4048582995951417,0.061145942069569414,0.15103047691183658,15.103047691183658,0.88,"Derived, live validation building",71.50021208323555,100.0,83.71440690470602,B,1.2756121150578648,1.7016459899608325,1-1,V1.2
4,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Hull City,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.44,0.3971348094133268,0.0,2.5180366371743252,0.29069767441860467,0.10643713499472213,0.36614374438184416,36.61437443818441,0.88,"Derived, live validation building",68.05674047066633,100.0,81.74670884038075,B,1.2501010184685135,1.0561814651850812,1-1,V1.2
5,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Bournemouth,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.8,0.3162583250727602,0.0,3.1619720991374196,0.2631578947368421,0.0531004303359181,0.20178163527648862,20.178163527648863,0.88,"Derived, live validation building",64.01291625363801,100.0,79.43595214493601,B,1.9673349671036575,1.6261671135470963,1-1,V1.2
6,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.96,0.569987157681271,0.0,1.754425492791868,0.5102040816326531,0.05978307604861788,0.11717482905529109,11.717482905529108,1.0,Calibrated O/U 2.5,72.75495296873949,78.1165527035274,75.05278142650573,B,1.7601093221541944,1.2868222009334622,1-1,V1.2
7,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Moneyline,Liverpool,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.71,0.4164777980742729,0.0,2.4010883764364896,0.36900369003690037,0.04747410803737251,0.12865483278127943,12.865483278127943,0.88,"Derived, live validation building",65.28848564043753,85.76988852085296,74.06622973204414,B,1.784191412051835,1.6078494387904512,1-1,V1.2
8,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Spread,Fulham -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.41,0.4660042416647111,0.0,2.145903214158934,0.41493775933609955,0.05106648232861155,0.12307022241195387,12.307022241195387,0.84,"Derived, live validation building",66.18750100532748,82.04681494130259,72.98434983503108,B,1.2756121150578648,1.7016459899608325,1-1,V1.2
9,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Spread,Crystal Palace +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.47,0.7274095955828846,0.0,1.3747412820402574,0.6802721088435374,0.047137486739347256,0.0692921055068404,6.92921055068404,0.84,"Derived, live validation building",69.84659824284131,46.19473700456027,59.710086283578,D,1.7601093221541944,1.2868222009334622,1-1,V1.2
10,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Spread,Bournemouth +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.97,0.5460311622048422,0.0,1.8313973069999485,0.5076142131979695,0.03841694900687265,0.07568138954353909,7.568138954353909,0.84,"Derived, live validation building",61.89580128036144,50.45425969569273,56.99228345836055,D,1.9673349671036575,1.6261671135470963,1-1,V1.2
