Season,Date,HomeTeam,AwayTeam,Side,Team,Point,LineBucket,OddsSource,DecimalOdds,ModelWinProbability,ModelPushProbability,MarketNoVigProbability,ModelMinusMarketProbability,ModelExpectedReturn,Result,FlatBetReturn,PositiveModelEV
2021/22,2022-01-19,Brentford,Man United,Home,Brentford,0.5,+0.5 to +1.0,Pinnacle Close,1.93,0.7134941820951106,0.0,0.5076530612244898,0.2058411208706208,0.3770437714435635,L,-1.0,True
2021/22,2022-01-19,Brentford,Man United,Away,Man United,-0.5,-0.5 to -1.0,Pinnacle Close,1.99,0.2865058179048889,0.0,0.49234693877551017,-0.20584112087062129,-0.4298534223692711,W,0.99,False
2021/22,2022-01-21,Watford,Norwich,Home,Watford,-0.5,-0.5 to -1.0,Pinnacle Close,2.07,0.5179080318072472,0.0,0.47328244274809167,0.044625589059155535,0.07206962584100163,L,-1.0,True
2021/22,2022-01-21,Watford,Norwich,Away,Norwich,0.5,+0.5 to +1.0,Pinnacle Close,1.86,0.48209196819275285,0.0,0.5267175572519084,-0.044625589059155535,-0.1033089391614796,W,0.8600000000000001,False
2021/22,2022-01-22,Brentford,Wolves,Home,Brentford,0.0,near pick'em,Pinnacle Close,2.13,0.45137442140686074,0.28363649318974615,0.4607594936708861,-0.009385072264025351,0.24506401078635942,L,-1.0,True
2021/22,2022-01-22,Brentford,Wolves,Away,Wolves,-0.0,near pick'em,Pinnacle Close,1.82,0.2649890854033929,0.28363649318974615,0.5392405063291139,-0.274251420925721,-0.2340833713760787,W,0.8200000000000001,False
2021/22,2022-01-22,Everton,Aston Villa,Home,Everton,0.0,near pick'em,Pinnacle Close,1.94,0.44247604148751857,0.2664878827399828,0.5038363171355499,-0.061360275648031315,0.12489140322576886,L,-1.0,True
2021/22,2022-01-22,Everton,Aston Villa,Away,Aston Villa,-0.0,near pick'em,Pinnacle Close,1.97,0.29103607577249885,0.2664878827399828,0.49616368286445,-0.20512760709195116,-0.16017104798819454,W,0.97,False
2021/22,2022-01-22,Leeds,Newcastle,Home,Leeds,-0.5,-0.5 to -1.0,Pinnacle Close,1.86,0.6030376510710048,0.0,0.5267175572519084,0.07632009381909644,0.12165003099206906,L,-1.0,True
2021/22,2022-01-22,Leeds,Newcastle,Away,Newcastle,0.5,+0.5 to +1.0,Pinnacle Close,2.07,0.3969623489289953,0.0,0.47328244274809167,-0.07632009381909638,-0.17828793771697982,W,1.0699999999999998,False
2021/22,2022-01-22,Man United,West Ham,Home,Man United,-0.5,-0.5 to -1.0,Pinnacle Close,1.88,0.3743325962976577,0.0,0.5216284987277354,-0.14729590243007773,-0.29625471896040356,W,0.8799999999999999,False
2021/22,2022-01-22,Man United,West Ham,Away,West Ham,0.5,+0.5 to +1.0,Pinnacle Close,2.05,0.6256674037023425,0.0,0.4783715012722647,0.14729590243007784,0.2826181775898021,L,-1.0,True
2021/22,2022-01-23,Crystal Palace,Liverpool,Home,Crystal Palace,1.0,+0.5 to +1.0,Pinnacle Close,1.94,0.39734604447247396,0.24105785742182287,0.5038363171355499,-0.10649027266307592,0.011909183698422254,L,-1.0,True
2021/22,2022-01-23,Crystal Palace,Liverpool,Away,Liverpool,-1.0,-0.5 to -1.0,Pinnacle Close,1.97,0.3615960981057035,0.24105785742182287,0.49616368286445,-0.13456758475874653,-0.04659782930994133,W,0.97,False
2021/22,2022-01-23,Leicester,Brighton,Home,Leicester,0.0,near pick'em,Pinnacle Close,1.93,0.34868858470201347,0.24405727632346702,0.5076530612244898,-0.15896447652247636,-0.08297375520164701,PUSH,0.0,False
2021/22,2022-01-23,Leicester,Brighton,Away,Brighton,-0.0,near pick'em,Pinnacle Close,1.99,0.4072541389745195,0.24405727632346702,0.49234693877551017,-0.08509279980099066,0.05449301288276076,PUSH,0.0,True
2021/22,2022-02-08,Burnley,Man United,Home,Burnley,1.0,+0.5 to +1.0,Pinnacle Close,1.98,0.5666372648388347,0.22489292978980122,0.4936061381074168,0.07303112673141787,0.3468347141706939,W,0.98,True
2021/22,2022-02-08,Burnley,Man United,Away,Man United,-1.0,-0.5 to -1.0,Pinnacle Close,1.93,0.20846980537136392,0.22489292978980122,0.5063938618925831,-0.2979240565212191,-0.3727603458434664,L,-1.0,False
2021/22,2022-02-08,Newcastle,Everton,Home,Newcastle,0.0,near pick'em,Pinnacle Close,1.86,0.2893362412918578,0.25390759836140603,0.5267175572519084,-0.23738131596005058,-0.20792699283573837,W,0.8600000000000001,False
2021/22,2022-02-08,Newcastle,Everton,Away,Everton,-0.0,near pick'em,Pinnacle Close,2.07,0.45675616034673633,0.25390759836140603,0.47328244274809167,-0.01652628240135534,0.1993928502791501,L,-1.0,True
2021/22,2022-02-08,West Ham,Watford,Home,West Ham,-1.0,-0.5 to -1.0,Pinnacle Close,1.96,0.45275094705725677,0.22525053443288282,0.5,-0.04724905294274323,0.11264239066510612,PUSH,0.0,True
2021/22,2022-02-08,West Ham,Watford,Away,Watford,1.0,+0.5 to +1.0,Pinnacle Close,1.96,0.3219985185098607,0.22525053443288282,0.5,-0.17800148149013928,-0.14363236928779022,PUSH,0.0,False
2021/22,2022-02-09,Man City,Brentford,Home,Man City,-2.5,-1.5 or more,Pinnacle Close,1.79,0.31643837237904315,0.0,0.538659793814433,-0.2222214214353898,-0.43357531344151273,L,-1.0,False
2021/22,2022-02-09,Man City,Brentford,Away,Brentford,2.5,+1.5 or more,Pinnacle Close,2.09,0.6835616276209572,0.0,0.4613402061855671,0.2222214214353901,0.42864380172780037,W,1.0899999999999999,True
2021/22,2022-02-09,Tottenham,Southampton,Home,Tottenham,-1.0,-0.5 to -1.0,Pinnacle Close,1.97,0.3792736349372088,0.24274341381098238,0.49744897959183665,-0.11817534465462787,-0.010087525362716288,L,-1.0,False
2021/22,2022-02-09,Tottenham,Southampton,Away,Southampton,1.0,+0.5 to +1.0,Pinnacle Close,1.95,0.37798295125180864,0.24274341381098238,0.5025510204081632,-0.1245680691563546,-0.020189831247990675,W,0.95,False
2021/22,2022-02-12,Brentford,Crystal Palace,Home,Brentford,0.0,near pick'em,Pinnacle Close,2.21,0.35527381893384513,0.2870629986274784,0.44050632911392407,-0.08523251018007894,0.07221813847127612,PUSH,0.0,True
