LineBucket,Subset,Bets,AveragePoint,AverageDecimalOdds,AverageModelWinProbability,AverageMarketNoVigProbability,ActualWinRateExcludingPush,PushRate,AverageModelExpectedReturn,FlatBetROI,FlatBetProfitUnits
+0.5 to +1.0,All quoted sides,466,0.6920600858369099,1.9547424892703862,0.47617761279935195,0.5013160678486881,0.52,0.08798283261802575,0.019094567214278928,0.01813304721030041,8.44999999999999
+0.5 to +1.0,Positive model EV,248,0.7137096774193549,1.9799999999999998,0.5245872869852698,0.4945996030551083,0.5180180180180181,0.10483870967741936,0.1355135355451814,0.02459677419354836,6.099999999999993
+1.5 or more,All quoted sides,179,1.73463687150838,1.9548603351955307,0.5180731183518905,0.5005667106390909,0.5180722891566265,0.07262569832402235,0.06662766880710567,0.013687150837988823,2.4499999999999993
+1.5 or more,Positive model EV,121,1.71900826446281,1.9654545454545453,0.5607623240243547,0.4979967835944547,0.5398230088495575,0.06611570247933884,0.15550294642310694,0.055454545454545444,6.709999999999999
-0.5 to -1.0,All quoted sides,466,-0.6920600858369099,1.9651502145922746,0.4360096158199047,0.4986839321513119,0.48,0.08798283261802575,-0.05480343041682385,-0.04815450643776826,-22.44000000000001
-0.5 to -1.0,Positive model EV,181,-0.6685082872928176,1.9985082872928177,0.5116295061609809,0.4907468021628589,0.4911242603550296,0.06629834254143646,0.09845067319202784,-0.01121546961325968,-2.030000000000002
-1.5 or more,All quoted sides,179,-1.73463687150838,1.9593296089385472,0.42763038371358225,0.49943328936090925,0.4819277108433735,0.07262569832402235,-0.1081969671416632,-0.04905027932960895,-8.780000000000003
-1.5 or more,Positive model EV,43,-1.7790697674418605,1.9741860465116279,0.5431458250006789,0.4956025007343918,0.5,0.06976744186046512,0.10918918733586788,-0.001860465116279092,-0.08000000000000096
near pick'em,All quoted sides,394,0.0,1.9621573604060913,0.3735189102023083,0.5,0.5,0.25888324873096447,-0.013292587310818822,-0.010177664974619305,-4.010000000000006
near pick'em,Positive model EV,172,0.0,1.999186046511628,0.4309267629969486,0.49074373162513146,0.5736434108527132,0.25,0.1123691805927699,0.11476744186046509,19.739999999999995
