OddsBucket,Subset,Bets,AverageDecimalOdds,AverageModelProbability,AverageMarketNoVigProbability,ActualWinRate,ModelCalibrationGap,MarketCalibrationGap,AverageModelMinusMarketProbability,AverageModelExpectedReturn,FlatBetROI,FlatBetProfitUnits
+100 to +149,All quoted sides,498,2.235582329317269,0.43903950182889917,0.43508296074152253,0.40562248995983935,0.03341701186905982,0.02946047078168318,0.003956541087376641,-0.02165864604255186,-0.09799196787148595,-48.800000000000004
+100 to +149,Positive model edge,268,2.244701492537313,0.49070547551176863,0.4334209420946342,0.3805970149253731,0.1101084605863955,0.0528239271692611,0.057284533417134374,0.09754968313492238,-0.14764925373134327,-39.56999999999999
+100 to +149,Positive model EV,233,2.246824034334764,0.49790439255058044,0.433113674906282,0.3776824034334764,0.12022198911710402,0.05543127147280558,0.06479071764429836,0.11457339379539683,-0.15394849785407727,-35.870000000000005
+150 to +199,All quoted sides,446,2.7317713004484303,0.37112116343073887,0.35564449163056167,0.38565022421524664,-0.014529060784507775,-0.030005732584684974,0.015476671800177177,0.01146697299640112,0.04020179372197309,17.93
+150 to +199,Positive model edge,263,2.7383269961977184,0.4106627657558389,0.35479491467348195,0.40304182509505704,0.007620940660781839,-0.048246910421575084,0.05586785108235694,0.12152530138800043,0.08794676806083651,23.130000000000003
+150 to +199,Positive model EV,228,2.736315789473684,0.4186744503062691,0.3552470059797408,0.39473684210526316,0.023937608201005933,-0.03948983612552237,0.06342744432652835,0.14257204411527094,0.06407894736842103,14.609999999999994
+200 to +299,All quoted sides,513,3.465263157894737,0.30367433360270973,0.28136244839770874,0.29239766081871343,0.0112766727839963,-0.011035212421004692,0.022311885205000968,0.04567757410718339,0.009883040935672507,5.069999999999997
+200 to +299,Positive model edge,310,3.4779032258064517,0.34176073549399816,0.2803639677711928,0.2870967741935484,0.05466396130044976,-0.006732806422355575,0.061396767722805286,0.17987318038691738,-0.001612903225806466,-0.5000000000000044
+200 to +299,Positive model EV,289,3.475536332179931,0.3460325967523269,0.2805455013787691,0.2906574394463668,0.0553751573059601,-0.010111938067597692,0.06548709537355778,0.19388740054238685,0.013252595155709342,3.83
+300 and longer,All quoted sides,929,7.4165877287405815,0.18428276615770614,0.15703213223883608,0.14531754574811626,0.038965220409589885,0.011714586490719825,0.027250633918870067,0.14329012192568052,-0.14808396124865447,-137.57
+300 and longer,Positive model edge,643,7.367682737169518,0.20570833938558838,0.15557768903760244,0.13530326594090203,0.07040507344468636,0.02027442309670041,0.05013065034798596,0.29247388474781294,-0.17363919129082428,-111.65
+300 and longer,Positive model EV,598,7.400752508361204,0.20914155765217357,0.155473023581114,0.13377926421404682,0.07536229343812675,0.02169375936706719,0.05366853407105953,0.31583652296794135,-0.18558528428093649,-110.98000000000002
